,,w,u,total_demand,served,un_served_demand,denied,los
32.0,140,12.0,1.0,90.0,81.0,9.0,0.0,0.9
32.0,141,7.0,0.0,112.0,112.0,0.0,0.0,1.0
32.0,142,5.0,0.0,79.0,74.0,5.0,0.0,0.9367088607594937
32.0,143,11.0,10.0,35.0,34.0,1.0,0.0,0.9714285714285714
32.0,144,8.0,0.0,12.0,4.0,8.0,0.0,0.3333333333333333
32.0,148,3.0,0.0,11.0,10.0,1.0,8.0,0.9090909090909091
32.0,151,6.0,0.0,34.0,24.0,10.0,6.0,0.7058823529411765
32.0,24,2.0,2.0,15.0,15.0,0.0,0.0,1.0
32.0,152,5.0,1.0,7.0,2.0,5.0,2.0,0.2857142857142857
32.0,158,4.0,0.0,24.0,15.0,9.0,9.0,0.625
32.0,161,15.0,0.0,63.0,54.0,9.0,0.0,0.8571428571428571
32.0,162,7.0,0.0,90.0,88.0,2.0,0.0,0.9777777777777777
32.0,163,9.0,1.0,34.0,28.0,6.0,0.0,0.8235294117647058
32.0,164,6.0,0.0,47.0,45.0,2.0,4.0,0.9574468085106383
32.0,166,4.0,5.0,14.0,13.0,1.0,2.0,0.9285714285714286
32.0,41,5.0,0.0,21.0,18.0,3.0,1.0,0.8571428571428571
32.0,42,5.0,6.0,14.0,9.0,5.0,0.0,0.6428571428571429
32.0,43,12.0,0.0,31.0,17.0,14.0,9.0,0.5483870967741935
32.0,170,0.0,8.0,118.0,123.0,-5.0,0.0,1.0423728813559323
32.0,45,1.0,0.0,3.0,0.0,3.0,3.0,0.0
32.0,48,3.0,14.0,95.0,92.0,3.0,0.0,0.968421052631579
32.0,50,4.0,0.0,43.0,36.0,7.0,9.0,0.8372093023255814
32.0,186,2.0,0.0,185.0,187.0,-2.0,0.0,1.0108108108108107
32.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,68,7.0,25.0,52.0,53.0,-1.0,0.0,1.0192307692307692
32.0,74,8.0,0.0,25.0,13.0,12.0,7.0,0.52
32.0,75,20.0,0.0,35.0,25.0,10.0,2.0,0.7142857142857143
32.0,79,18.0,0.0,65.0,46.0,19.0,19.0,0.7076923076923077
32.0,209,2.0,0.0,3.0,0.0,3.0,2.0,0.0
32.0,211,0.0,2.0,10.0,5.0,5.0,7.0,0.5
32.0,87,7.0,0.0,23.0,17.0,6.0,0.0,0.7391304347826086
32.0,88,5.0,0.0,7.0,6.0,1.0,0.0,0.8571428571428571
32.0,90,1.0,13.0,38.0,37.0,1.0,0.0,0.9736842105263158
32.0,224,6.0,0.0,19.0,16.0,3.0,10.0,0.8421052631578947
32.0,100,1.0,18.0,78.0,77.0,1.0,0.0,0.9871794871794872
32.0,229,11.0,0.0,67.0,65.0,2.0,0.0,0.9701492537313433
32.0,230,0.0,8.0,43.0,43.0,0.0,0.0,1.0
32.0,231,10.0,0.0,30.0,23.0,7.0,6.0,0.7666666666666667
32.0,232,1.0,0.0,4.0,1.0,3.0,2.0,0.25
32.0,233,0.0,6.0,49.0,49.0,0.0,0.0,1.0
